condition,evidence_recall,full_hit_rate,precision,f1,avg_retrieved_size,n_queries,n_raw_queries,n_excluded_empty_gold
combined_no_pcst,0.7188,0.4169,0.1728,0.2753,10.86,2255,2556,301
combined_pcst,0.71,0.431,0.189,0.2938,9.96,2255,2556,301
dense_no_pcst,0.7682,0.5033,0.1793,0.2876,11,2255,2556,301
entity_no_pcst,0.6647,0.3455,0.2203,0.2993,9.61,2255,2556,301
entity_pcst,0.6932,0.4044,0.1867,0.2873,10.31,2255,2556,301
metadata_no_pcst,0.7128,0.4155,0.182,0.2848,10.48,2255,2556,301
metadata_pcst,0.6794,0.38,0.1966,0.2973,9.71,2255,2556,301
semantic_no_pcst,0.7347,0.4421,0.1761,0.2806,10.88,2255,2556,301
semantic_pcst,0.6897,0.4084,0.2036,0.3078,9.18,2255,2556,301
