condition,evidence_recall_exact,full_hit_rate_exact,precision_exact,f1_exact,avg_retrieved_size_exact,avg_hit_count_exact,avg_gold_size,n_queries
combined_no_pcst,0.7822985957132298,0.4997782705099778,0.15687676698763173,0.2587010487447425,12.975166297117516,2.032372505543237,2.6199556541019957,2255
combined_pcst,0.709940872135994,0.43059866962305987,0.19089002279030629,0.2956878864737562,9.89179600886918,1.8035476718403547,2.6199556541019957,2255
combined_random_structure_no_pcst,0.247450110864745,0.004878048780487805,0.04648616473450177,0.07758361242253248,12.904656319290465,0.6008869179600886,2.6199556541019957,2255
combined_random_structure_pcst,0.642091648189209,0.3578713968957871,0.07166066462741445,0.12805616858891633,22.781374722838137,1.621729490022173,2.6199556541019957,2255
combined_shuffled_nodes_pcst,0.6448263118994826,0.3649667405764967,0.08432051343603364,0.14791118040932577,19.52771618625277,1.6305986696230599,2.6199556541019957,2255
entity_no_pcst,0.761419068736142,0.46430155210643015,0.15601492496170988,0.2562042890952504,12.793348115299334,1.982261640798226,2.6199556541019957,2255
entity_pcst,0.7046932742054693,0.424390243902439,0.16988823297815922,0.2671524269115235,11.748115299334811,1.8097560975609757,2.6199556541019957,2255
entity_random_structure_no_pcst,0.3957132298595713,0.11751662971175167,0.0749292601953356,0.1248462654253707,12.90110864745011,0.9685144124168514,2.6199556541019957,2255
entity_random_structure_pcst,0.6467479674796748,0.35920177383592017,0.07613309720652228,0.134845062632172,22.196452328159644,1.6341463414634145,2.6199556541019957,2255
entity_shuffled_nodes_pcst,0.6056171470805617,0.3232815964523282,0.07181383878539568,0.12718078463641072,21.709534368070955,1.5361419068736142,2.6199556541019957,2255
metadata_no_pcst,0.7615299334811529,0.47583148558758315,0.1587100839539864,0.2591497436378094,12.694456762749446,1.97960088691796,2.6199556541019957,2255
metadata_pcst,0.6793791574279379,0.38004434589800445,0.19657120263938274,0.297287733952002,9.70509977827051,1.742350332594235,2.6199556541019957,2255
metadata_random_structure_no_pcst,0.3957132298595713,0.11751662971175167,0.07492590065760799,0.1248413922497658,12.9019955654102,0.9685144124168514,2.6199556541019957,2255
metadata_random_structure_pcst,0.6472653362897265,0.36585365853658536,0.07132491178037036,0.12762475194745673,23.11308203991131,1.6354767184035477,2.6199556541019957,2255
metadata_shuffled_nodes_pcst,0.574759793052476,0.27849223946784923,0.06988985544966,0.12344719956350961,21.031929046563192,1.4527716186252773,2.6199556541019957,2255
semantic_no_pcst,0.7800813008130081,0.49223946784922396,0.1565509262848509,0.2580792549913458,12.951662971175166,2.022172949002217,2.6199556541019957,2255
semantic_pcst,0.689689578713969,0.4084257206208426,0.20356649750047975,0.30777486338542087,9.177383592017739,1.7521064301552107,2.6199556541019957,2255
semantic_random_structure_no_pcst,0.24249815225424984,0.0026607538802660754,0.056186468126601156,0.08980323141924812,10.685144124168515,0.588470066518847,2.6199556541019957,2255
semantic_random_structure_pcst,0.6441980783444198,0.35875831485587584,0.07437508900412394,0.132421240901645,22.05011086474501,1.6261640798226165,2.6199556541019957,2255
semantic_shuffled_nodes_pcst,0.6325203252032521,0.3485587583148559,0.06836866560352105,0.12246336056638228,23.5019955654102,1.5942350332594235,2.6199556541019957,2255
