condition,evidence_recall,full_hit_rate,precision,f1,avg_retrieved_size,n_queries,n_raw_queries,n_excluded_empty_gold
combined_no_pcst,0.7641,0.4998,0.1569,0.2575,12.98,2255,2556,301
combined_pcst,0.6931,0.4306,0.1909,0.2938,9.89,2255,2556,301
dense_no_pcst,0.7811,0.533,0.1588,0.2612,13,2255,2556,301
entity_no_pcst,0.7433,0.4643,0.156,0.255,12.79,2255,2556,301
entity_pcst,0.6883,0.4244,0.1699,0.2654,11.75,2255,2556,301
metadata_no_pcst,0.7436,0.4758,0.1587,0.258,12.69,2255,2556,301
metadata_pcst,0.6629,0.38,0.1966,0.2953,9.71,2255,2556,301
semantic_no_pcst,0.762,0.4922,0.1566,0.2569,12.95,2255,2556,301
semantic_pcst,0.6729,0.4084,0.2036,0.3057,9.18,2255,2556,301
