condition,question_type,evidence_recall,full_hit_rate,precision,f1,avg_retrieved_size,n_queries
combined_no_pcst,inference_query,0.8046,0.451,0.1606,0.2659,16.0,816
combined_no_pcst,comparison_query,0.7913,0.5829,0.1099,0.1922,15.94,856
combined_no_pcst,temporal_query,0.8631,0.6895,0.1316,0.2271,15.86,583
combined_pcst,inference_query,0.7101,0.3407,0.1856,0.2902,12.53,816
combined_pcst,comparison_query,0.7794,0.5748,0.1427,0.2391,12.4,856
combined_pcst,temporal_query,0.8196,0.6072,0.1715,0.2806,11.73,583
dense_no_pcst,inference_query,0.7918,0.4142,0.1576,0.261,16,816
dense_no_pcst,comparison_query,0.8285,0.6472,0.1135,0.1989,16,856
dense_no_pcst,temporal_query,0.8613,0.6758,0.1288,0.223,16,583
entity_no_pcst,inference_query,0.8862,0.7243,0.1776,0.2938,15.94,816
entity_no_pcst,comparison_query,0.7841,0.5794,0.1123,0.1954,15.63,856
entity_no_pcst,temporal_query,0.8708,0.7238,0.1335,0.2303,15.8,583
entity_pcst,inference_query,0.7131,0.3578,0.1634,0.2618,14.74,816
entity_pcst,comparison_query,0.7722,0.5654,0.1198,0.2041,15.7,856
entity_pcst,temporal_query,0.8176,0.6226,0.1503,0.2497,14.23,583
metadata_no_pcst,inference_query,0.781,0.4081,0.156,0.2582,15.95,816
metadata_no_pcst,comparison_query,0.7747,0.5619,0.1103,0.192,15.69,856
metadata_no_pcst,temporal_query,0.8388,0.6484,0.1295,0.223,15.69,583
metadata_pcst,inference_query,0.7054,0.3223,0.1872,0.2918,12.5,816
metadata_pcst,comparison_query,0.7313,0.5023,0.1339,0.2224,13.08,856
metadata_pcst,temporal_query,0.7776,0.5455,0.1689,0.2723,11.93,583
semantic_no_pcst,inference_query,0.7878,0.3909,0.1569,0.2598,15.99,816
semantic_no_pcst,comparison_query,0.8061,0.6121,0.1114,0.195,15.94,856
semantic_no_pcst,temporal_query,0.8505,0.6501,0.1278,0.2212,15.94,583
semantic_pcst,inference_query,0.7004,0.3284,0.197,0.303,11.6,816
semantic_pcst,comparison_query,0.7617,0.5584,0.143,0.2381,12.43,856
semantic_pcst,temporal_query,0.8067,0.5901,0.1739,0.2825,11.51,583
