condition,evidence_recall,full_hit_rate,precision,f1,avg_retrieved_size,n_queries,n_raw_queries,n_excluded_empty_gold
combined_no_pcst,0.7959,0.5627,0.1339,0.227,15.94,2255,2556,301
combined_pcst,0.7472,0.4984,0.1657,0.267,12.27,2255,2556,301
dense_no_pcst,0.8054,0.5703,0.1334,0.2268,16,2255,2556,301
entity_no_pcst,0.8229,0.6692,0.1414,0.2391,15.79,2255,2556,301
entity_pcst,0.7455,0.5051,0.1435,0.2356,14.97,2255,2556,301
metadata_no_pcst,0.7752,0.5286,0.1318,0.2231,15.78,2255,2556,301
metadata_pcst,0.7166,0.4483,0.1622,0.259,12.57,2255,2556,301
semantic_no_pcst,0.7925,0.5419,0.1321,0.2244,15.96,2255,2556,301
semantic_pcst,0.7337,0.4834,0.1705,0.2716,11.89,2255,2556,301
