condition,question_type,evidence_recall,full_hit_rate,precision,f1,avg_retrieved_size,n_queries
combined_no_pcst,inference_query,0.6951,0.3468,0.193,0.2995,11.96,816
combined_no_pcst,comparison_query,0.6953,0.4439,0.1297,0.2176,11.95,856
combined_no_pcst,temporal_query,0.7913,0.5643,0.1634,0.2688,11.88,583
combined_pcst,inference_query,0.6041,0.2561,0.1979,0.2933,10.46,816
combined_pcst,comparison_query,0.7214,0.514,0.1657,0.2668,9.88,856
combined_pcst,temporal_query,0.7604,0.5283,0.2032,0.3166,9.34,583
dense_no_pcst,inference_query,0.7033,0.3578,0.1943,0.3021,12,816
dense_no_pcst,comparison_query,0.7893,0.6051,0.145,0.2439,12,856
dense_no_pcst,temporal_query,0.819,0.6141,0.1652,0.2734,12,583
entity_no_pcst,inference_query,0.6903,0.3235,0.1961,0.3011,11.83,816
entity_no_pcst,comparison_query,0.6937,0.4334,0.1372,0.2259,11.62,856
entity_no_pcst,temporal_query,0.7716,0.5283,0.1668,0.2709,11.62,583
entity_pcst,inference_query,0.5893,0.2488,0.1929,0.2853,10.68,816
entity_pcst,comparison_query,0.7292,0.5093,0.1529,0.2479,11.5,856
entity_pcst,temporal_query,0.7699,0.5455,0.1962,0.3059,10.48,583
metadata_no_pcst,inference_query,0.6802,0.3223,0.1892,0.2937,11.95,816
metadata_no_pcst,comparison_query,0.7076,0.465,0.1401,0.2314,11.54,856
metadata_no_pcst,temporal_query,0.7787,0.5609,0.1683,0.2734,11.6,583
metadata_pcst,inference_query,0.5983,0.2463,0.2165,0.3131,9.56,816
metadata_pcst,comparison_query,0.6931,0.4755,0.1671,0.2644,9.76,856
metadata_pcst,temporal_query,0.7276,0.4906,0.211,0.3208,8.93,583
semantic_no_pcst,inference_query,0.6894,0.3248,0.1913,0.2971,11.99,816
semantic_no_pcst,comparison_query,0.7338,0.5152,0.1369,0.2296,11.93,856
semantic_no_pcst,temporal_query,0.8079,0.5918,0.1669,0.2746,11.88,583
semantic_pcst,inference_query,0.5875,0.2353,0.2186,0.3141,9.13,816
semantic_pcst,comparison_query,0.6943,0.4836,0.1725,0.273,9.3,856
semantic_pcst,temporal_query,0.7441,0.5077,0.2194,0.3339,8.57,583
