condition,evidence_recall,full_hit_rate,precision,f1,avg_retrieved_size,n_queries,n_raw_queries,n_excluded_empty_gold
combined_no_pcst,0.7917,0.5109,0.1477,0.2466,13.97,2255,2556,301
combined_pcst,0.7108,0.431,0.1902,0.2948,9.97,2255,2556,301
dense_no_pcst,0.8096,0.545,0.1497,0.2503,14,2255,2556,301
entity_no_pcst,0.771,0.4763,0.1479,0.2456,13.71,2255,2556,301
entity_pcst,0.717,0.4439,0.1579,0.2526,12.96,2255,2556,301
metadata_no_pcst,0.7667,0.4851,0.1498,0.2471,13.6,2255,2556,301
metadata_pcst,0.687,0.388,0.1881,0.288,10.28,2255,2556,301
semantic_no_pcst,0.7887,0.5038,0.1475,0.2461,13.93,2255,2556,301
semantic_pcst,0.7003,0.42,0.1966,0.3006,9.7,2255,2556,301
