condition,question_type,evidence_recall,full_hit_rate,precision,f1,avg_retrieved_size,n_queries
combined_no_pcst,inference_query,0.7384,0.3775,0.1758,0.2819,14,816
combined_no_pcst,comparison_query,0.7734,0.5631,0.1233,0.2118,13.97,856
combined_no_pcst,temporal_query,0.8225,0.6209,0.1443,0.2441,13.92,583
combined_pcst,inference_query,0.6046,0.2586,0.2006,0.2961,10.43,816
combined_pcst,comparison_query,0.7282,0.5222,0.1667,0.2681,10.03,856
combined_pcst,temporal_query,0.769,0.5386,0.2101,0.3252,9.24,583
dense_no_pcst,inference_query,0.7432,0.3958,0.1768,0.2836,14,816
dense_no_pcst,comparison_query,0.8107,0.6262,0.1279,0.2201,14,856
dense_no_pcst,temporal_query,0.8308,0.6346,0.1437,0.2438,14,583
entity_no_pcst,inference_query,0.7317,0.3664,0.1758,0.2814,13.88,816
entity_no_pcst,comparison_query,0.7408,0.5023,0.1235,0.2102,13.6,856
entity_no_pcst,temporal_query,0.7996,0.5918,0.1446,0.2431,13.64,583
entity_pcst,inference_query,0.6216,0.2831,0.1701,0.2614,12.99,816
entity_pcst,comparison_query,0.7259,0.5152,0.1345,0.2223,13.55,856
entity_pcst,temporal_query,0.7739,0.5643,0.1752,0.2788,12.06,583
metadata_no_pcst,inference_query,0.719,0.3664,0.1724,0.2761,13.93,816
metadata_no_pcst,comparison_query,0.7383,0.5129,0.1263,0.2132,13.42,856
metadata_no_pcst,temporal_query,0.8053,0.6106,0.1525,0.2524,13.42,583
metadata_pcst,inference_query,0.6156,0.2586,0.2068,0.3046,10.5,816
metadata_pcst,comparison_query,0.6859,0.4533,0.1591,0.2518,10.63,856
metadata_pcst,temporal_query,0.7238,0.4734,0.2047,0.311,9.46,583
semantic_no_pcst,inference_query,0.7273,0.3566,0.1734,0.278,13.99,816
semantic_no_pcst,comparison_query,0.7753,0.5678,0.1242,0.2132,13.9,856
semantic_no_pcst,temporal_query,0.8245,0.6158,0.1456,0.2459,13.87,583
semantic_pcst,inference_query,0.6023,0.2574,0.2176,0.3146,9.54,816
semantic_pcst,comparison_query,0.7114,0.5035,0.1659,0.265,10.22,856
semantic_pcst,temporal_query,0.7556,0.5249,0.2123,0.3255,9.16,583
