name,n_nodes,n_edges,avg_degree,min_degree,max_degree,median_degree,n_isolated,density,n_components,largest_cc,oracle_connectivity
entity,609,3933,12.916,0,25,13,14,0.021244,17,588,0.5172
metadata,609,3794,12.46,0,25,12,17,0.020493,21,583,0.4858
semantic,609,4674,15.35,0,25,16,1,0.025246,2,608,0.5685
combined,609,8258,27.12,2,50,28,0,0.044605,1,609,0.7185
