condition,evidence_recall,full_hit_rate,precision,f1,avg_retrieved_size,n_queries,n_raw_queries,n_excluded_empty_gold
combined_no_pcst,0.6945,0.404,0.1717,0.2717,10.85,2255,2556,301
combined_pcst,0.686,0.4217,0.1984,0.302,9.4,2255,2556,301
dense_no_pcst,0.7508,0.5033,0.1793,0.2861,11,2255,2556,301
entity_no_pcst,0.6866,0.3951,0.1789,0.2782,10.55,2255,2556,301
entity_pcst,0.6681,0.3965,0.1925,0.2911,9.89,2255,2556,301
metadata_no_pcst,0.6957,0.4155,0.182,0.2833,10.48,2255,2556,301
metadata_pcst,0.6477,0.3623,0.2131,0.3126,8.67,2255,2556,301
semantic_no_pcst,0.7173,0.4421,0.1761,0.2791,10.88,2255,2556,301
semantic_pcst,0.6605,0.3916,0.2181,0.3212,8.35,2255,2556,301
