condition,evidence_recall,full_hit_rate,precision,f1,avg_retrieved_size,n_queries,n_raw_queries,n_excluded_empty_gold
combined_no_pcst,0.8085,0.5738,0.1424,0.2398,14.84,2255,2556,301
combined_pcst,0.7263,0.4443,0.1919,0.2975,10.54,2255,2556,301
dense_no_pcst,0.8168,0.5557,0.1411,0.2384,15,2255,2556,301
entity_no_pcst,0.8168,0.5982,0.1519,0.2531,14.24,2255,2556,301
entity_pcst,0.7009,0.4142,0.1668,0.2607,12.75,2255,2556,301
metadata_no_pcst,0.7939,0.5326,0.141,0.2372,14.75,2255,2556,301
metadata_pcst,0.6556,0.3424,0.1995,0.2962,9.61,2255,2556,301
semantic_no_pcst,0.7969,0.5313,0.1463,0.2442,14.27,2255,2556,301
semantic_pcst,0.6829,0.396,0.212,0.313,9.17,2255,2556,301
