condition,question_type,evidence_recall,full_hit_rate,precision,f1,avg_retrieved_size,n_queries
combined_no_pcst,inference_query,0.7835,0.4498,0.1678,0.2742,14.87,816
combined_no_pcst,comparison_query,0.7813,0.5724,0.1163,0.2014,14.84,856
combined_no_pcst,temporal_query,0.8834,0.7496,0.1454,0.248,14.79,583
combined_pcst,inference_query,0.6577,0.288,0.1972,0.2968,11.71,816
combined_pcst,comparison_query,0.7514,0.5304,0.1704,0.274,10.32,856
combined_pcst,temporal_query,0.7856,0.5369,0.2161,0.3331,9.23,583
dense_no_pcst,inference_query,0.7869,0.4032,0.1672,0.2736,15,816
dense_no_pcst,comparison_query,0.8224,0.6367,0.1202,0.209,15,856
dense_no_pcst,temporal_query,0.8505,0.6501,0.1354,0.2325,15,583
entity_no_pcst,inference_query,0.8188,0.5294,0.185,0.2987,14.21,816
entity_no_pcst,comparison_query,0.7767,0.5759,0.1227,0.2105,14.2,856
entity_no_pcst,temporal_query,0.8728,0.7273,0.1483,0.2519,14.34,583
entity_pcst,inference_query,0.6704,0.3088,0.1829,0.2808,12.61,816
entity_pcst,comparison_query,0.6811,0.4357,0.1376,0.2207,13.42,856
entity_pcst,temporal_query,0.7727,0.53,0.1871,0.2914,11.95,583
metadata_no_pcst,inference_query,0.782,0.4191,0.1672,0.2734,14.9,816
metadata_no_pcst,comparison_query,0.7724,0.5607,0.1179,0.2034,14.64,856
metadata_no_pcst,temporal_query,0.8422,0.6501,0.1383,0.2362,14.72,583
metadata_pcst,inference_query,0.6282,0.2304,0.213,0.3113,10.11,816
metadata_pcst,comparison_query,0.6427,0.3762,0.1699,0.2576,9.82,856
metadata_pcst,temporal_query,0.713,0.4494,0.224,0.3315,8.58,583
semantic_no_pcst,inference_query,0.7787,0.3983,0.1769,0.2854,14.07,816
semantic_no_pcst,comparison_query,0.7843,0.5864,0.1201,0.2071,14.44,856
semantic_no_pcst,temporal_query,0.8411,0.6364,0.1418,0.241,14.3,583
semantic_pcst,inference_query,0.6371,0.2537,0.2498,0.3494,8.52,816
semantic_pcst,comparison_query,0.6914,0.465,0.1699,0.2662,10.1,856
semantic_pcst,temporal_query,0.7347,0.494,0.2208,0.3307,8.73,583
