condition,evidence_recall,full_hit_rate,precision,f1,avg_retrieved_size,n_queries,n_raw_queries,n_excluded_empty_gold
combined_no_pcst,0.6722,0.365,0.1956,0.299,8.93,2255,2556,301
combined_pcst,0.6305,0.3273,0.2109,0.3103,7.89,2255,2556,301
dense_no_pcst,0.7209,0.4479,0.2046,0.3149,9,2255,2556,301
entity_no_pcst,0.6708,0.3659,0.2021,0.3052,8.75,2255,2556,301
entity_pcst,0.5895,0.2745,0.1969,0.2832,8.68,2255,2556,301
metadata_no_pcst,0.6806,0.3809,0.2051,0.3101,8.72,2255,2556,301
metadata_pcst,0.5983,0.2807,0.2346,0.3279,7.24,2255,2556,301
semantic_no_pcst,0.6982,0.4071,0.2015,0.3087,8.95,2255,2556,301
semantic_pcst,0.6013,0.2918,0.2364,0.3316,6.91,2255,2556,301
