condition,evidence_recall,full_hit_rate,precision,f1,avg_retrieved_size,n_queries,n_raw_queries,n_excluded_empty_gold
combined_no_pcst,0.6557,0.365,0.1956,0.2971,8.93,2255,2556,301
combined_pcst,0.6155,0.3273,0.2109,0.308,7.89,2255,2556,301
dense_no_pcst,0.704,0.4479,0.2046,0.313,9,2255,2556,301
entity_no_pcst,0.6538,0.3659,0.2021,0.3031,8.75,2255,2556,301
entity_pcst,0.5758,0.2745,0.1969,0.2809,8.68,2255,2556,301
metadata_no_pcst,0.6643,0.3809,0.2051,0.3082,8.72,2255,2556,301
metadata_pcst,0.5833,0.2807,0.2346,0.325,7.24,2255,2556,301
semantic_no_pcst,0.6814,0.4071,0.2015,0.3067,8.95,2255,2556,301
semantic_pcst,0.5865,0.2918,0.2364,0.3288,6.91,2255,2556,301
