condition,evidence_recall,full_hit_rate,precision,f1,avg_retrieved_size,n_queries,n_raw_queries,n_excluded_empty_gold
combined_no_pcst,0.7019,0.4169,0.1728,0.2739,10.86,2255,2556,301
combined_pcst,0.6849,0.4208,0.1962,0.2997,9.45,2255,2556,301
dense_no_pcst,0.7508,0.5033,0.1793,0.2861,11,2255,2556,301
entity_no_pcst,0.6481,0.3455,0.2203,0.2972,9.61,2255,2556,301
entity_pcst,0.6739,0.4031,0.1869,0.2855,10.26,2255,2556,301
metadata_no_pcst,0.6957,0.4155,0.182,0.2833,10.48,2255,2556,301
metadata_pcst,0.663,0.38,0.1966,0.2953,9.71,2255,2556,301
semantic_no_pcst,0.7173,0.4421,0.1761,0.2791,10.88,2255,2556,301
semantic_pcst,0.6729,0.4084,0.2036,0.3057,9.18,2255,2556,301
