condition,evidence_recall,full_hit_rate,precision,f1,avg_retrieved_size,n_queries,n_raw_queries,n_excluded_empty_gold
combined_no_pcst,0.7373,0.4399,0.1613,0.2618,11.93,2255,2556,301
combined_pcst,0.7058,0.4244,0.1871,0.2911,9.95,2255,2556,301
dense_no_pcst,0.7834,0.518,0.1681,0.2739,12,2255,2556,301
entity_no_pcst,0.73,0.4182,0.1662,0.2661,11.69,2255,2556,301
entity_pcst,0.7054,0.4244,0.1786,0.2782,10.94,2255,2556,301
metadata_no_pcst,0.7335,0.4381,0.1652,0.2661,11.7,2255,2556,301
metadata_pcst,0.6843,0.3965,0.1963,0.2986,9.47,2255,2556,301
semantic_no_pcst,0.7546,0.4661,0.1643,0.267,11.94,2255,2556,301
semantic_pcst,0.685,0.4,0.2013,0.3057,9.05,2255,2556,301
